HECA - Deflator,heca_scalar_2010
HEPI,hepi_index
HEPI - Deflator,hepi_scalar_2010
Historically Black,hbcu
Institution Aid - Average Amount,inst_grant_avg_amount
Institution Aid - Share of Total Grant Aid,institutional_grant_aid_share
Institution Aid - Students Receiving,inst_grant_num
Institution Aid - Students Receiving (%),inst_grant_pct
Institution Aid - Total Amount,institutional_grant_aid
Investment Income,investment01
Land Grant,landgrnt
Net Assets,assets11
"Number of Full-Time, First-Time, Degree-Seeking Undergratuates in Current Year Gruaduation Rate Survey",grscohort
Parent Id,unitid_linchpin
Part Time Employees ,ptall1
Public/Private Leadership,control
Retention Rate - Full-Time Students,ftretention_rate
Retention Rate - Part-Time Students,ptretention_rate
Revenue - Auxiliary Sources,auxiliary03
Revenue - Below State-Level Appropriations,local03
Revenue - Endowment,endowment03
Revenue - Federal - Appropriations,federal03
"Revenue - Federal - Grants, Contracts, and Appropriations",federal10
"Revenue - Federal - Grants, Contracts, and Appropriations, less Pell Grants",federal10_net_pell
Revenue - Federal - Grants and Contracts,federal07
"Revenue - Federal - Grants and Contracts, less Pell Grants",federal07_net_pell
Revenue - Gross - Tuition and Fees,tuition03
"Revenue - Local Government Agencies, for Training Programs",local06
Revenue - Net - Tuition and Fees,nettuition01
Revenue - Net Tuition Directly from Students,net_student_tuition
Revenue - Non-Consolidated Affiliated Entities,affiliate01
Revenue - Private Donors,private03
Revenue - Restricted - Tuition and Fees,tuition02
Revenue - Sales of Goods or Services,edactivity03
Revenue - State Appropriations,state03
Revenue - State - Grants & Contracts,state06
"Revenue - State - Grants, Contracts, & Appropriations",state09
Revenue - State & Local Appropriations,state_local_app
Revenue - State & Local Grants and Contracts,state_local_grant_contract
Revenue - Unrestricted - Tuition and Fees,tuition01
SAT - Math - 25th Percentile,satmt25
SAT - Math - 7th Percentile,satmt75
SAT - Students Who Submitted Scores (%),satpct
SAT - Verbal - 25th Percentile,satvr25
SAT - Verbal - 7th Percentile,satvr75
Scholarship Funds Applied to Tuition and Fees,appliedaid01
State,state
State Aid - Average Amount,state_grant_avg_amount
State Aid - Students Receiving,state_grant_num
State Aid - Students Receiving (%),state_grant_pct
Student Aid - Any,any_aid_num
Student Aid - Any (%),any_aid_pct
Student Loan - Average Amount,loan_avg_amount
Student Loan - Default Rate - Three Year,default_rate_three_year
Student Loan - Default Rate - Two Year,default_rate_two_year
Student Loan - Students Receiving,loan_num
Student Loan - Students Receiving (%),loan_pct
Top 50 Institution,is_top_50
Total Assets,assets06
Total Entering Undergraduate Students,ugentering
Total Grant Amount Received - Institution (funded),grant05
Total Grant Amount Received - Institution (unfunded),grant06
Total Grant Amount Received - Local,grant04
Total Grant Amount Received - Other Federal Grants,grant02
Total Grant Amount Received - Pell,grant01
Total Grant Amount Received - State,grant03
Total Liabilities,liabilities07
Total Student Aid (sum of all grants),grant07
Tuition & Fees - Graduate - In District Average,tuitionfee05_tf
Tuition & Fees - Undergraduate - In District Average,tuitionfee01_tf
Tuition & Fees - Undergraduate - In State Average,tuitionfee02_tf
Tuition & Fees - Undergraduate - Out of State Average,tuitionfee03_tf
Tuition - Graduate - In District Average,tuition05_tf
Tuition - Graduate - In State Average,tuition06_tf
Tuition - Undergraduate - In District Average,tuition01_tf
Tuition - Undergraduate - In State Average,tuition02_tf
Tuition - Undergraduate - Out of State Average,tuition03_tf
Tuition Reliance - A1,tuition_reliance_a1
Tuition Reliance - A2,tuition_reliance_a2
Tuition Reliance - B1,tuition_reliance_b1
Tuition Reliance - B2,tuition_reliance_b2
Tuition Reliance - C1,tuition_reliance_c1
Tuition Reliance C2,tuition_reliance_c2
Tution Discount,tuition_discount
Virginia Institution,is_virginia
school,school
